ID|Nombre|Categoria|Rating
2001|ROBOBEAT|Accion / Roguelike / Ritmo|8.1
2002|Citizen Sleeper|Rol / Narrativo / Cyberpunk|8.5
2003|The Outer Worlds|Accion / Rol (RPG) / Ciencia Ficcion|8.2
2004|Tomb Raider I-III Remastered|Accion / Aventura / Clasico|7.9
2005|Wildgate|Estrategia / Rol|7.0
2006|Total War: THREE KINGDOMS|Estrategia / Táctico por Turnos|8.5
2007|Chivalry 2 - Public Testing|Accion / Multijugador / Medieval|7.5
2008|Chivalry 2|Accion / Multijugador / Medieval|8.2
2009|Trine 3: The Artifacts of Power|Plataformas / Puzles / Aventura|6.8
2010|Trine 2: Complete Story|Plataformas / Puzles / Aventura|8.4
2011|Trine 4: Definitive Edition|Plataformas / Puzles / Aventura|8.1
2012|Trine Enchanted Edition|Plataformas / Puzles / Aventura|8.0
2013|Viewfinder|Puzles / Primera Persona / Aventura|8.3
2014|Cassette Beasts|Rol / Coleccion de Monstruos|8.6
2015|We Were Here Together|Cooperativo / Puzles / Escape Room|7.8
2016|Disco Elysium - The Final Cut|Rol Narrativo / Detective|9.7
2017|The Callisto Protocol|Survival Horror / Accion|7.0
2018|Bloodstained: Ritual of the Night|Metroidvania / Accion RPG|8.3
2019|Blood West|Infiltracion / Terror / Roguelike|8.0
1170|Hogwarts Legacy|Magia / Mundo Abierto / Rol|9.1
2020|Where Winds Meet|Accion RPG / Mundo Abierto / Wuxia|8.4
2021|Zero Hour|Shooter Tactico / FPS|7.8
2022|Songs of Silence|Estrategia 4X / RPG por Turnos|7.6
2023|Scourgebringer|Plataformas / Roguelike / Accion|7.6
2024|Five Nights at Freddy's: Into the Pit|Terror / Aventura / Pixel Art|8.5
2025|Bendy and the Ink Machine|Terror / Puzles / Supervivencia|7.8
2026|Totally Reliable Delivery Service|Fisicas / Casual / Cooperativo|6.5
2027|Legion TD 2|Estrategia / Tower Defense|7.9
2028|Limbo|Plataformas / Puzles / Oscuro|8.8
2029|Crystal of Atlan|Accion RPG / Anime / MMORPG|8.0
2030|Gigapocalypse|Destruccion / Casual / Arcade|7.2
2031|Happy Game|Terror Psicologico / Puzles / Point and Click|7.4
2032|Dead Island 2|Accion / Gore / Zombies|7.5
2033|Super Space Club|Shooter Arcade / Espacial|7.1
2034|Mini Royale|Battle Royale / Casual / Web|6.5
2035|Forgotten Playland|Minijuegos / Casual / Fiesta|6.8
2036|Neko Ghost, Jump!|Plataformas / Puzles 2D-3D|7.0
2037|Cat Quest|Accion RPG / Aventura|7.4
2038|Mortal Shell|Souls-like / Accion RPG|7.6
2039|Mortal Shell Tech Beta|Souls-like / Accion / Beta|7.0
2040|HOT WHEELS UNLEASHED|Carreras / Arcade|7.8
2041|DREDGE|Pesca / Terror Cosmico / Aventura|8.9
2042|Vampire Survivors|Roguelike / Supervivencia / Bullet Hell|9.5
2043|The Lord of The Rings: Return to Moria|Supervivencia / Fabricacion / Cooperativo|7.2
2044|LEGO® Star Wars™: The Skywalker Saga|LEGO / Aventura / Accion|8.2
2045|Beholder|Estrategia / Distopia / Decisiones|8.0
2046|Gran Saga|MMORPG / Anime / Rol|7.5
2047|Witch It|Escondite / Multijugador / Casual|7.9
2048|Moving Out|Cooperativo / Fisicas / Simulacion|7.7
2049|Kardboard Kings|Simulacion / Gestion / Cartas|7.2
2050|Invincible Presents: Atom Eve|Novela Visual / Rol / Novela Grafica|8.2
2051|Empyrion - Galactic Survival|Supervivencia / Construccion Espacial|7.9
2052|The Spirit and the Mouse|Aventura / Relajante / Puzles|8.1
2053|Death's Gambit: Afterlife|Metroidvania / Souls-like / 2D RPG|8.1
1122|Once Human|Supervivencia / Mundo Abierto|8.2
2054|Zenless Zone Zero|Accion RPG / Hack and Slash / Anime|8.2
2055|Redout 2|Carreras / Futurista / Velocidad|7.7
2056|Idle Champions of the Forgotten Realms|Estrategia / Clicker / Idle|6.8
2057|Marvel's Midnight Suns|Estrategia por Turnos / Cartas / Superheroes|8.1
1202|Wuthering Waves|Accion RPG / Anime|8.3
2058|Farming Simulator 22|Simulacion / Agricultura|8.2
2059|Dragon Age: Inquisition|Rol (RPG) / Fantasia / Mundo Abierto|8.5
2060|Circus Electrique|Estrategia por Turnos / Gestion RPG|7.2
1135|Orcs Must Die! 3|Estrategia / Tower Defense|8.4
2061|Cat Quest II|Accion RPG / Aventura / Cooperativo|7.7
2062|Predecessor|MOBA / Accion en Tercera Persona|7.8
2063|Call of the Wild: TheAngler|Simulacion / Pesca / Mundo Abierto|7.0
2064|Genshin Impact|Accion RPG / Mundo Abierto / Anime|8.3
2065|Astro Duel 2|Accion / Combate Espacial / Multijugador|7.1
2066|Aerial_Knight's Never Yield|Runner / Ritmo / Accion|6.9
2067|Lost Castle|Roguelike / Beat 'em up / Rol|7.8
2068|Doors: Paradox|Puzles / Escape Room / Relajante|7.6
2069|Infinifactory|Puzles / Automatizacion / Sandbox|8.5
2070|LOVE|Plataformas / Retro / Dificil|7.2
2071|Marvel's Guardians of the Galaxy|Accion / Aventura / Ciencia Ficcion|8.6
2072|A Plague Tale: Innocence|Aventura Narrativa / Sigilo / Historia|8.3
2073|20 Minutes Till Dawn|Roguelike / Supervivencia / Bullet Hell|7.9
2074|Escape Academy|Puzles / Escape Room|7.9
2075|Ghostrunner|Accion / Cyberpunk / Parkour|8.1
2076|Saints Row|Accion / Mundo Abierto / Sandbox|6.2
1001|Mecha Chameleon|Casual|7.2
1002|MudRunner|Simulacion|8.8
1003|The Life and Suffering of Sir Brante|Rol Narrativo|9.1
1004|Ore Factory Squad Demo|Estrategia / Demo|7.5
1005|Catch Me!|Accion / Casual|7.0
1006|Marvel's Spider-Man: Miles Morales|Accion / Aventura|9.3
1007|Portal|Puzles / Ciencia Ficcion|9.8
1008|Portal 2|Puzles / Ciencia Ficcion|9.9
1009|The Red Lantern|Supervivencia / Narrativo|7.8
1010|Happy's Humble Burger Farm|Terror Psicologico|7.6
1011|Sons of the Forest|Supervivencia Terror|8.6
1012|Remothered: Tormented Fathers|Survival Horror|7.2
1013|Winexy|Casual / Puzles|6.5
1014|Gravity Circuit|Plataformas / Accion|8.9
1015|Drift86|Carreras / Arcade|8.0
1016|NBA 2K26|Deportes|6.2
1017|Buckshot Roulette|Terror / Estrategia|9.5
1018|Dino Running from a Furry|Casual / Memes|7.1
1019|Bunny Guys!|Plataformas / Dificil|6.8
1020|Bunny Hurling|Casual / Accion|6.4
1021|Car Mechanic Simulator 2018|Simulacion|9.0
1022|Geometry Dash|Ritmo / Plataformas|9.7
